code,name,lat,lon,population,area,income_med,income_med_m,income_med_f
101,Eisenstadt,47.85,16.52,12061,42.91,2174,2654,1811
102,Rust,47.8,16.68,1799,20.01,1348,1408,1335
103,Eisenstadt-Umgebung,47.83,16.58,39265,453.14,1969,2219,1526
104,Güssing,47.06,16.32,26604,485.44,1862,2199,1477
105,Jennersdorf,46.94,16.14,17752,253.35,1997,2266,1516
106,Mattersburg,47.73,16.43,37902,237.84,2035,2304,1516
107,Neusiedl am See,47.85,17.0,52169,1038.65,1624,1875,1388
108,Oberpullendorf,47.5,16.52,37505,701.49,1983,2303,1459
109,Oberwart,47.29,16.2,53158,732.62,1952,2337,1529
201,Klagenfurt,46.62,14.31,91723,120.11,2252,2700,1846
202,Villach,46.61,13.86,57829,134.89,2232,2699,1688
203,Hermagor,46.6,13.13,19472,808.02,1870,2225,1571
204,Klagenfurt Land,46.63,14.2,57262,765.59,2023,2320,1668
205,Sankt Veit an der Glan,46.77,14.36,57934,1493.49,2226,2594,1737
206,Spittal an der Drau,46.85,13.33,81172,2764.52,2086,2582,1600
207,Villach Land,46.67,13.83,64621,1009.37,1979,2363,1585
208,Völkermarkt,46.55,14.67,43354,907.49,2184,2512,1661
209,Wolfsberg,46.83,14.83,55989,973.79,2358,2634,1564
210,Feldkirchen,46.72,14.1,30535,558.56,2107,2416,1576
301,Krems an der Donau,48.4,15.58,23734,51.61,2225,2599,1692
302,Sankt Pölten,48.2,15.62,50474,108.48,2410,2922,2017
303,Waidhofen an der Ybbs,47.97,14.77,11824,131.57,2386,2853,1736
304,Wiener Neustadt,47.8,16.25,39324,60.97,1998,2403,1654
305,Amstetten,48.0,14.77,110211,1187.79,2443,2843,1621
306,Baden,47.95,16.2,130670,753.38,2239,2555,1751
307,Bruck an der Leitha,48.05,16.7,41028,494.95,1890,2162,1524
308,Gänserndorf,48.34,16.72,67717,1271.21,1947,2255,1461
309,Gmünd,48.75,15.08,39261,786.24,2314,2619,1635
310,Hollabrunn,48.58,16.08,49987,1010.72,1724,2153,1343
311,Horn,48.75,15.7,32049,783.99,1961,2289,1512
312,Korneuburg,48.42,16.3,70651,626.5,2246,2546,1710
313,Krems-Land,48.5,15.5,54661,923.95,1758,2124,1427
314,Lilienfeld,47.92,15.6,27171,931.55,2298,2502,1811
315,Melk,48.17,15.27,75808,1013.62,2036,2538,1436
316,Mistelbach,48.58,16.5,73026,1291.51,1991,2318,1450
317,Mödling,48.07,16.25,109762,277.02,2298,2675,1784
318,Neunkirchen,47.65,16.03,86408,1146.36,2259,2631,1602
319,Sankt Pölten-Land,48.2,15.7,94841,1121.61,2199,2571,1561
320,Scheibbs,47.9,15.15,41382,1023.51,2332,2673,1681
321,Tulln,48.3,16.0,66141,658.03,2101,2405,1553
322,Waidhofen an der Thaya,48.83,15.4,27629,669.14,2139,2461,1554
323,Wiener Neustadt Land,47.8,16.25,72831,969.72,2227,2485,1679
324,Wien-Umgebung,48.13,16.5,105476,484.47,2338,2591,1979
325,Zwettl,48.6,15.17,44921,1399.76,2107,2449,1498
401,Linz,48.3,14.3,187112,95.99,2456,3076,1879
402,Steyr,47.9,14.47,39116,26.56,2938,3838,1730
403,Wels,48.1,14.0,58146,45.92,2333,2754,1827
404,Braunau am Inn,48.26,13.03,95970,1040.46,2407,2786,1793
405,Eferding,48.3,13.97,31081,259.73,2026,2478,1550
406,Freistadt,48.51,14.51,64517,993.86,1900,2493,1376
407,Gmunden,47.75,13.75,100023,1432.74,2311,2775,1642
408,Grieskirchen,48.27,13.8,62448,578.99,2241,2661,1570
409,Kirchdorf an der Krems,47.8,14.23,55684,1239.79,2451,2792,1865
410,Linz-Land,48.17,14.3,132896,460.27,2380,2719,1664
411,Perg,48.27,14.77,65163,613.52,2291,2746,1547
412,Ried im Innkreis,48.23,13.47,58625,585.01,2260,2662,1611
413,Rohrbach,48.53,13.95,57563,827.94,1983,2468,1410
414,Schärding,48.43,13.6,57080,618.49,2218,2585,1556
415,Steyr-Land,47.9,14.47,58358,971.7,2214,2670,1586
416,Urfahr-Umgebung,48.4,14.28,79317,649.36,2100,2482,1546
417,Vöcklabruck,47.92,13.55,128189,1084.26,2368,2762,1718
418,Wels-Land,48.13,13.93,64940,457.66,2274,2677,1639
501,Salzburg,47.78,13.17,141552,1004.0,2313,2772,1891
502,Hallein,47.6,13.3,55383,668.31,2170,2657,1629
503,Salzburg-Umgebung,47.78,13.17,138212,1004.36,2391,2773,1765
504,Sankt Johann im Pongau,47.3,13.3,79405,1755.37,2007,2315,1733
505,Tamsweg,47.15,13.7,21261,1019.68,2074,2407,1651
506,Zell am See,47.28,12.7,84888,2640.85,2018,2394,1672
601,Graz,47.07,15.44,240278,127.56,2321,2766,1866
603,Deutschlandsberg,46.82,15.21,61391,863.49,2198,2600,1629
606,Graz-Umgebung,47.13,15.4,136234,1100.89,2344,2635,1717
610,Leibnitz,46.78,15.54,76325,681.52,2057,2408,1453
611,Leoben,47.39,15.09,66176,1099.68,2492,2978,1677
612,Liezen,47.57,14.24,81663,3270.77,2068,2434,1662
614,Murau,47.11,14.17,30775,1384.58,1903,2358,1433
616,Voitsberg,47.05,15.15,53250,678.6,2164,2467,1507
617,Weiz,47.22,15.62,86755,1070.48,2060,2456,1493
620,Murtal,47.17,14.66,47192,1675.49,2354,2755,1585
621,Bruck-Mürzzuschlag,47.42,15.27,102707,2154.8,2602,3132,1603
622,Hartberg-Fürstenfeld,47.33,15.93,89527,1223.03,1955,2386,1462
623,Südoststeiermark,46.96,15.88,91130,,1880,2256,1489
701,Innsbruck-Stadt,47.27,11.4,115498,104.91,2207,2696,1767
702,Imst,47.08,10.87,54652,1724.82,2100,2420,1740
703,Innsbruck-Land,47.2,11.33,159835,1990.09,2156,2627,1674
704,Kitzbühel,47.43,12.38,60804,1163.28,2017,2312,1717
705,Kufstein,47.5,12.03,97089,969.9,2240,2696,1716
706,Landeck,47.07,10.47,44578,1594.82,2116,2350,1897
707,Lienz,46.9,12.5,50472,2019.87,2140,2558,1580
708,Reutte,47.21,10.76,31942,1236.82,2213,2728,1779
709,Schwaz,47.27,11.77,76913,1843.2,2169,2589,1781
801,Bludenz,47.1,9.87,61959,1287.52,2363,2743,1964
802,Bregenz,47.45,9.92,123902,863.34,2511,3114,1867
803,Dornbirn,47.42,9.73,78499,172.37,2316,2846,1731
804,Feldkirch,47.37,9.67,96467,278.26,2461,2981,1793
900,Wien,48.25,16.42,1714142,414.87,2392,2670,2089
